pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,discoverymethod,disc_year
KOI-94 e,KOI-94,54.32031,0.3046,6.56,35.0,584.0,6182.0,Transit,2013
PH2 b,PH2,282.52542,0.833,9.33708092,87.08498352,295.1,5734.0,Transit,2013
K2-33 b,K2-33,5.424865,0.0409,5.04,1175.971,850.0,3540.0,Transit,2016
HAT-P-11 b,HAT-P-11,4.888,0.05258,4.36,25.0,838.0,4653.0,Transit,2010
HD 114082 b,HD 114082,109.75,0.5109,11.2089807,2542.627256,547.7,6651.0,Radial Velocity,2022
TIC 46432937 b,TIC 46432937,1.44044527,0.02065,13.31626907,1017.0509024,872.0,3572.0,Transit,2024
TOI-2529 b,TOI-2529,64.5949,0.327,11.54525012,743.71847238,636.0,5802.0,Transit,2024
KOI-1599.01,KOI-1599,20.4415,0.14728,1.9,4.6,660.0,5833.0,Transit,2019
Kepler-689 b,Kepler-689,22.36656079,0.1449,2.89,8.7,536.0,5518.0,Transit,2016
Kepler-1205 b,Kepler-1205,1.078390352,0.0196,1.41,2.57,1667.0,5226.0,Transit,2016
Kepler-32 f,Kepler-32,0.74296,0.013,0.82,969.228,1026.0,3900.0,Transit,2012
Kepler-968 b,Kepler-968,3.692983728,0.0389,2.0,4.66,745.0,4598.0,Transit,2016
BD+20 594 b,BD+20 594,41.6855,0.241,2.57807,22.2481,546.0,5766.0,Transit,2016
HD 73534 b,HD 73534,1750.0,2.99,13.7,353.42696,220.25,4917.0,Radial Velocity,2008
GJ 3988 b,GJ 3988,6.9442,0.0405,1.74,3.69,348.0,3273.0,Radial Velocity,2023
Kepler-116 b,Kepler-116,5.968734,0.069,3.42,11.6,1251.0,6142.0,Transit,2014
Kepler-364 c,Kepler-364,59.980627,0.312,2.15,5.27,568.0,6108.0,Transit,2014
HD 190984 b,HD 190984,4885.0,5.5,13.0,1137.82569706,152.29,5988.0,Radial Velocity,2009
Kepler-516 b,Kepler-516,24.85462415,0.1992,5.74,27.9,1095.0,7099.0,Transit,2016
Kepler-119 b,Kepler-119,2.422082,0.035,3.6,12.6,1213.0,5595.0,Transit,2014
WASP-75 b,WASP-75,2.484193,0.0375,14.235,340.06,1710.0,6100.0,Transit,2013
2M0437 b,2MASS J04372171+2651014,,118.0,13.0,1271.313628,1450.0,3100.0,Imaging,2021
Kepler-1518 b,Kepler-1518,5.11177904,0.0593,3.05,9.53,1351.0,6846.0,Transit,2016
K2-270 c,K2-270,4.400028,0.0497,2.95,9.01,848.0,4877.0,Transit,2018
Kepler-550 b,Kepler-550,8.600104109,0.0747,4.42,17.9,760.0,5322.0,Transit,2016
Kepler-763 d,Kepler-763,6.50327035,0.0634,1.67,3.43,804.0,4999.0,Transit,2023
Kepler-812 b,Kepler-812,10.11716531,0.1024,3.55,12.3,1163.0,6761.0,Transit,2016
WASP-23 b,WASP-23,2.9444256,0.0376,10.783,280.95,1076.55,5150.0,Transit,2010
Kepler-184 b,Kepler-184,10.687576,0.092,2.36,6.17,780.0,5788.0,Transit,2014
Kepler-343 b,Kepler-343,8.96855,0.088,2.41,6.39,1024.0,5807.0,Transit,2014
HD 103720 b,HD 103720,4.5557,0.0498,14.1,197.046,926.24,5017.0,Radial Velocity,2014
Kepler-1378 b,Kepler-1378,11.95398936,0.0885,2.2,5.48,525.0,4407.0,Transit,2016
Kepler-229 c,Kepler-229,16.068638,0.117,4.92,21.5,600.0,5120.0,Transit,2014
Kepler-561 b,Kepler-561,58.3620495,0.29256,6.96,38.7,446.0,5646.0,Transit,2016
Kepler-1272 b,Kepler-1272,51.1309704,0.2705,2.37,6.21,542.0,5926.0,Transit,2016
2MASS J11011926-7732383 b,2MASS J11011926-7732383,,266.0,11.9,8899.195396,2677.0,,Imaging,2024
HD 18015 b,HD 18015,2278.0,3.87,13.1,1048.8337431,242.98,5603.0,Radial Velocity,2018
TOI-2019 b,TOI-2019,15.3444,0.128,5.33275337,34.4,917.46,5626.0,Transit,2024
Kepler-161 b,Kepler-161,4.921355,0.054,2.12,2.63,868.0,5078.0,Transit,2014
Kepler-75 b,Kepler-75,8.8849116,0.0818,11.77,3209.9,767.0,5200.0,Transit,2013
HD 30562 b,HD 30562,1157.0,2.34,13.6,467.20775829,235.27,5882.0,Radial Velocity,2009
